Target,Target ChEMBL ID,Molecule ChEMBL ID,Standard Type,Standard Relation,Standard Value,Standard Units,Assay Description,Canonical SMILES
InhA,CHEMBL360,CHEMBL374478,IC50,=,147.0,ug.mL-1,Concentration required for inhibition of growth of Mycobacterium tuberculosis in level 2 assay,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C
InhA,CHEMBL360,CHEMBL227960,IC50,=,194.98,nM,Antimycobacterial activity against drug-sensitive Mycobacterium tuberculosis H37Rv by microplate alamar blue assay,NNC(=O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1
InhA,CHEMBL360,CHEMBL227499,IC50,=,660.69,nM,Antimycobacterial activity against drug-sensitive Mycobacterium tuberculosis H37Rv by microplate alamar blue assay,O=C(N/N=C/c1ccnc2cc(Cl)ccc12)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1
InhA,CHEMBL360,CHEMBL375912,IC50,=,69.18,nM,Antimycobacterial activity against drug-sensitive Mycobacterium tuberculosis H37Rv by microplate alamar blue assay,O=C(N/N=C/c1ccnc2ccccc12)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1
InhA,CHEMBL360,CHEMBL226983,IC50,=,6456.54,nM,Antimycobacterial activity against drug-sensitive Mycobacterium tuberculosis H37Rv by microplate alamar blue assay,O=C(N/N=C/c1ccncc1)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1
InhA,CHEMBL360,CHEMBL373945,IC50,=,13489.63,nM,Antimycobacterial activity against drug-sensitive Mycobacterium tuberculosis H37Rv by microplate alamar blue assay,O=C(N/N=C/c1cccnc1)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1
InhA,CHEMBL360,CHEMBL228193,IC50,=,2884.03,nM,Antimycobacterial activity against drug-sensitive Mycobacterium tuberculosis H37Rv by microplate alamar blue assay,O=C(N/N=C/c1ccccn1)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1
InhA,CHEMBL360,CHEMBL227657,IC50,=,79.43,nM,Antimycobacterial activity against drug-sensitive Mycobacterium tuberculosis H37Rv by microplate alamar blue assay,O=C(N/N=C/c1ccco1)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1
InhA,CHEMBL360,CHEMBL227603,IC50,=,75.86,nM,Antimycobacterial activity against drug-sensitive Mycobacterium tuberculosis H37Rv by microplate alamar blue assay,O=C(N/N=C/c1cccs1)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1
InhA,CHEMBL360,CHEMBL227437,IC50,=,79.43,nM,Antimycobacterial activity against drug-sensitive Mycobacterium tuberculosis H37Rv by microplate alamar blue assay,O=C(N/N=C/c1ccc[nH]1)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1
InhA,CHEMBL360,CHEMBL387667,IC50,=,6309.57,nM,Antimycobacterial activity against drug-sensitive Mycobacterium tuberculosis H37Rv by microplate alamar blue assay,O=C(N/N=C/c1c2ccccc2cc2ccccc12)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1
InhA,CHEMBL360,CHEMBL227630,IC50,=,3311.31,nM,Antimycobacterial activity against drug-sensitive Mycobacterium tuberculosis H37Rv by microplate alamar blue assay,CN(C)c1ccc(/C=N/NC(=O)c2cc(C34CC5CC(CC(C5)C3)C4)c3ccccc3n2)c2ccccc12
InhA,CHEMBL360,CHEMBL227505,IC50,=,9549.93,nM,Antimycobacterial activity against drug-sensitive Mycobacterium tuberculosis H37Rv by microplate alamar blue assay,COc1ccc(/C=N/NC(=O)c2cc(C34CC5CC(CC(C5)C3)C4)c3ccccc3n2)c2ccccc12
InhA,CHEMBL360,CHEMBL388197,IC50,=,5754.4,nM,Antimycobacterial activity against drug-sensitive Mycobacterium tuberculosis H37Rv by microplate alamar blue assay,COc1ccc2ccccc2c1/C=N/NC(=O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1
InhA,CHEMBL360,CHEMBL387500,IC50,=,6456.54,nM,Antimycobacterial activity against drug-sensitive Mycobacterium tuberculosis H37Rv by microplate alamar blue assay,O=C(N/N=C/c1ccc(C(F)(F)F)cc1C(F)(F)F)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1
InhA,CHEMBL360,CHEMBL227446,IC50,=,66069.34,nM,Antimycobacterial activity against drug-sensitive Mycobacterium tuberculosis H37Rv by microplate alamar blue assay,O=C(N/N=C/c1c(F)c(F)c(F)c(F)c1F)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1
InhA,CHEMBL360,CHEMBL390506,IC50,=,22.91,nM,Antimycobacterial activity against drug-sensitive Mycobacterium tuberculosis H37Rv by microplate alamar blue assay,O=C(N/N=C/c1ccccc1Cl)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1
InhA,CHEMBL360,CHEMBL389504,IC50,=,56234.13,nM,Antimycobacterial activity against drug-sensitive Mycobacterium tuberculosis H37Rv by microplate alamar blue assay,COc1ccc(/C=N/NC(=O)c2cc(C34CC5CC(CC(C5)C3)C4)c3ccccc3n2)cc1
InhA,CHEMBL360,CHEMBL227768,IC50,=,5370.32,nM,Antimycobacterial activity against drug-sensitive Mycobacterium tuberculosis H37Rv by microplate alamar blue assay,O=C(N/N=C/c1ccc(O)cc1)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1
InhA,CHEMBL360,CHEMBL425475,IC50,=,147.91,nM,Antimycobacterial activity against drug-sensitive Mycobacterium tuberculosis H37Rv by microplate alamar blue assay,O=C(N/N=C/c1cccc(O)c1)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1
InhA,CHEMBL360,CHEMBL388196,IC50,=,77.62,nM,Antimycobacterial activity against drug-sensitive Mycobacterium tuberculosis H37Rv by microplate alamar blue assay,O=C(N/N=C/c1ccccc1)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1
InhA,CHEMBL360,CHEMBL228025,IC50,=,144543.98,nM,Antimycobacterial activity against drug-sensitive Mycobacterium tuberculosis H37Rv by microplate alamar blue assay,CC(C)(C)/C=N/NC(=O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1
InhA,CHEMBL360,CHEMBL390817,IC50,=,9772.37,nM,Antimycobacterial activity against drug-sensitive Mycobacterium tuberculosis H37Rv by microplate alamar blue assay,CC(C)/C=N/NC(=O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1
InhA,CHEMBL360,CHEMBL227386,IC50,=,7762.47,nM,Antimycobacterial activity against drug-sensitive Mycobacterium tuberculosis H37Rv by microplate alamar blue assay,CC/C=N/NC(=O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1
InhA,CHEMBL360,CHEMBL227385,IC50,=,11220.18,nM,Antimycobacterial activity against drug-sensitive Mycobacterium tuberculosis H37Rv by microplate alamar blue assay,O=C(NN(C(=O)c1ccccc1)C(=O)c1ccccc1)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1
InhA,CHEMBL360,CHEMBL227839,IC50,=,13803.84,nM,Antimycobacterial activity against drug-sensitive Mycobacterium tuberculosis H37Rv by microplate alamar blue assay,O=C(NN(CCCc1ccccc1)CCCc1ccccc1)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1
InhA,CHEMBL360,CHEMBL226878,IC50,=,14125.38,nM,Antimycobacterial activity against drug-sensitive Mycobacterium tuberculosis H37Rv by microplate alamar blue assay,O=C(NNCCCc1ccccc1)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1
InhA,CHEMBL360,CHEMBL227966,IC50,=,9549.93,nM,Antimycobacterial activity against drug-sensitive Mycobacterium tuberculosis H37Rv by microplate alamar blue assay,O=C(NN(CCc1ccccc1)CCc1ccccc1)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1
InhA,CHEMBL360,CHEMBL227433,IC50,=,7943.28,nM,Antimycobacterial activity against drug-sensitive Mycobacterium tuberculosis H37Rv by microplate alamar blue assay,O=C(NNCCc1ccccc1)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1
InhA,CHEMBL360,CHEMBL427461,IC50,=,16595.87,nM,Antimycobacterial activity against drug-sensitive Mycobacterium tuberculosis H37Rv by microplate alamar blue assay,CC(C)NNC(=O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1
InhA,CHEMBL360,CHEMBL227799,IC50,=,77.62,nM,Antimycobacterial activity against drug-sensitive Mycobacterium tuberculosis H37Rv by microplate alamar blue assay,O=C(NNC1CCCCC1)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1
InhA,CHEMBL360,CHEMBL226768,IC50,=,81.28,nM,Antimycobacterial activity against drug-sensitive Mycobacterium tuberculosis H37Rv by microplate alamar blue assay,O=C(NNC1CCCC1)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1
InhA,CHEMBL360,CHEMBL223111,IC50,=,54954.09,nM,Antimycobacterial activity against drug-sensitive Mycobacterium tuberculosis H37Rv by microplate alamar blue assay,C=CCN(CC=C)NC(=O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1
InhA,CHEMBL360,CHEMBL389515,IC50,=,7244.36,nM,Antimycobacterial activity against drug-sensitive Mycobacterium tuberculosis H37Rv by microplate alamar blue assay,CCCCCCN(CCCCCC)NC(=O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1
InhA,CHEMBL360,CHEMBL389450,IC50,=,4786.3,nM,Antimycobacterial activity against drug-sensitive Mycobacterium tuberculosis H37Rv by microplate alamar blue assay,CCCCCCNNC(=O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1
InhA,CHEMBL360,CHEMBL227374,IC50,=,512.86,nM,Antimycobacterial activity against drug-sensitive Mycobacterium tuberculosis H37Rv by microplate alamar blue assay,CCC(C)NNC(=O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1
InhA,CHEMBL360,CHEMBL227683,IC50,=,8128.31,nM,Antimycobacterial activity against drug-sensitive Mycobacterium tuberculosis H37Rv by microplate alamar blue assay,CCCCN(CCCC)NC(=O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1
InhA,CHEMBL360,CHEMBL227627,IC50,=,13489.63,nM,Antimycobacterial activity against drug-sensitive Mycobacterium tuberculosis H37Rv by microplate alamar blue assay,CCCCNNC(=O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1
InhA,CHEMBL360,CHEMBL223447,IC50,=,5128.61,nM,Antimycobacterial activity against drug-sensitive Mycobacterium tuberculosis H37Rv by microplate alamar blue assay,CCCN(CCC)NC(=O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1
InhA,CHEMBL360,CHEMBL226982,IC50,=,3801.89,nM,Antimycobacterial activity against drug-sensitive Mycobacterium tuberculosis H37Rv by microplate alamar blue assay,CCCNNC(=O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1
InhA,CHEMBL360,CHEMBL228123,IC50,=,1122.02,nM,Antimycobacterial activity against drug-sensitive Mycobacterium tuberculosis H37Rv by microplate alamar blue assay,O=C(NNc1ccc(F)cc1)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1
InhA,CHEMBL360,CHEMBL427460,IC50,=,151.36,nM,Antimycobacterial activity against drug-sensitive Mycobacterium tuberculosis H37Rv by microplate alamar blue assay,O=C(NNc1ccccc1F)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1
InhA,CHEMBL360,CHEMBL227540,IC50,=,75.86,nM,Antimycobacterial activity against drug-sensitive Mycobacterium tuberculosis H37Rv by microplate alamar blue assay,O=C(NNc1cccc(F)c1)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1
InhA,CHEMBL360,CHEMBL387690,IC50,=,75857.76,nM,Antimycobacterial activity against drug-sensitive Mycobacterium tuberculosis H37Rv by microplate alamar blue assay,O=CNNC(=O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1
InhA,CHEMBL360,CHEMBL228011,IC50,=,87.1,nM,Antimycobacterial activity against drug-sensitive Mycobacterium tuberculosis H37Rv by microplate alamar blue assay,CC(=O)NNC(=O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1
InhA,CHEMBL360,CHEMBL257780,IC50,=,500000.0,nM,Antimycobacterial activity against Mycobacterium tuberculosis H37Rv in presence of iron rich GAST-D medium,Oc1ccccc1C1=NN(C(=S)Nc2ccccc2)[C@H](c2cccs2)C1
